Date,Open,High,Low,Close,Volume
19 08 2016,96.050003,96.779999,95.510002,95.870003,6942900
22 08 2016,95.669998,96.129997,94.949997,95.260002,5830500
23 08 2016,95.68,96.589996,95.480003,95.940002,5239100
24 08 2016,96.129997,96.360001,94.910004,95.18,6276500
25 08 2016,96.379997,98.25,96.040001,97.32,10823100
26 08 2016,97.330002,97.949997,96.57,97.580002,6617600
29 08 2016,96.970001,98.449997,96.57,97.300003,8008400
30 08 2016,97.839996,98.849998,97.139999,97.449997,6093500
31 08 2016,97.480003,97.879997,96.760002,97.449997,4690600
01 09 2016,97.809998,97.980003,96.919998,97.379997,4148600
02 09 2016,97.900002,98.18,97.010002,97.379997,4247200
06 09 2016,97.760002,100.32,97.650002,100.089996,9036100
07 09 2016,100.110001,100.190002,98.419998,99.150002,6468500
08 09 2016,99.230003,100.050003,98.82,99.660004,5201200
09 09 2016,99.059998,99.389999,96.5,96.5,7373300
12 09 2016,95.910004,99.290001,95.709999,99.050003,7718400
13 09 2016,97.169998,98,95.330002,96.089996,11788100
14 09 2016,97.349998,98.349998,96.959999,97.010002,8481000
15 09 2016,97.230003,97.970001,96.529999,97.339996,5293500
16 09 2016,97.099998,99.489998,97.040001,99.480003,9445100
19 09 2016,99.900002,100.349998,97.82,98.059998,8616200
20 09 2016,98.779999,99.160004,97.660004,98.25,4736800
21 09 2016,96.900002,97.099998,93.260002,94.879997,20042200
22 09 2016,95.540001,95.879997,94.230003,95.830002,11215000
23 09 2016,95.75,96.970001,95.43,95.940002,6179500
26 09 2016,95.379997,95.379997,94.040001,94.559998,6739200
27 09 2016,95.040001,97.639999,95,97.07,9680100
28 09 2016,97.099998,97.589996,96.019997,97.480003,7235100
29 09 2016,97.309998,98.309998,96.599998,96.669998,6217600
30 09 2016,96.900002,99.529999,96.790001,98.550003,9807900
03 10 2016,98,103.389999,98,102.629997,15344500
